Name,Date,Close,Volume,Open,High,Low
AAPL,12/16/2020,$127.81,98208590,$127.41,$128.37,$126.56
AAPL,12/15/2020,$127.88,157572300,$124.34,$127.90,$124.13
AAPL,12/14/2020,$121.78,79075990,$122.60,$123.35,$121.54
AAPL,12/11/2020,$122.41,86939790,$122.43,$122.76,$120.55
AAPL,12/10/2020,$123.24,81312170,$120.50,$123.87,$120.15
AAPL,12/9/2020,$121.78,115089200,$124.53,$125.95,$121.00
AAPL,12/8/2020,$124.38,82225510,$124.37,$124.98,$123.09
AAPL,12/7/2020,$123.75,86711990,$122.31,$124.57,$122.25
AAPL,12/4/2020,$122.25,78260420,$122.60,$122.86,$121.52
AAPL,12/3/2020,$122.94,78967630,$123.52,$123.78,$122.21
AAPL,12/2/2020,$123.08,89004200,$122.02,$123.37,$120.89
AAPL,12/1/2020,$122.72,128166800,$121.01,$123.47,$120.01
AAPL,11/30/2020,$119.05,169410200,$116.97,$120.97,$116.81
AAPL,11/27/2020,$116.59,46691330,$116.57,$117.49,$116.22
AAPL,11/25/2020,$116.03,76499230,$115.55,$116.75,$115.17
AAPL,11/24/2020,$115.17,113874200,$113.91,$115.85,$112.59
AAPL,11/23/2020,$113.85,127959300,$117.18,$117.62,$113.75
AAPL,11/20/2020,$117.34,73604290,$118.64,$118.77,$117.29
AAPL,11/19/2020,$118.64,74112970,$117.59,$119.06,$116.81
AAPL,11/18/2020,$118.03,76322110,$118.61,$119.82,$118.00
AAPL,11/17/2020,$119.39,74270970,$119.55,$120.67,$118.96
AAPL,11/16/2020,$120.30,91183020,$118.92,$120.99,$118.15
AAPL,11/13/2020,$119.26,81688590,$119.44,$119.67,$117.87
AAPL,11/12/2020,$119.21,103350700,$119.62,$120.53,$118.57
AAPL,11/11/2020,$119.49,112295000,$117.19,$119.63,$116.44
AAPL,11/10/2020,$115.97,138023400,$115.55,$117.59,$114.13
AAPL,11/9/2020,$116.32,154515300,$120.50,$121.99,$116.05
AAPL,11/6/2020,$118.69,114457900,$118.32,$119.20,$116.13
AAPL,11/5/2020,$119.03,126387100,$117.95,$119.62,$116.87
AAPL,11/4/2020,$114.95,138235500,$114.14,$115.59,$112.35
AAPL,11/3/2020,$110.44,107624400,$109.66,$111.49,$108.73
AAPL,11/2/2020,$108.77,122866900,$109.11,$110.68,$107.32
AAPL,10/30/2020,$108.86,190573500,$111.06,$111.99,$107.72
AAPL,10/29/2020,$115.32,146129200,$112.37,$116.93,$112.20
AAPL,10/28/2020,$111.20,143937800,$115.05,$115.43,$111.10
AAPL,10/27/2020,$116.60,92276770,$115.49,$117.28,$114.54
AAPL,10/26/2020,$115.05,111850700,$114.01,$116.55,$112.88
AAPL,10/23/2020,$115.04,82572650,$116.39,$116.55,$114.28
AAPL,10/22/2020,$115.75,101988000,$117.45,$118.04,$114.59
AAPL,10/21/2020,$116.87,89945980,$116.67,$118.71,$116.45
AAPL,10/20/2020,$117.51,124423700,$116.20,$118.98,$115.63
AAPL,10/19/2020,$115.98,120639300,$119.96,$120.42,$115.66
AAPL,10/16/2020,$119.02,115393800,$121.28,$121.55,$118.81
AAPL,10/15/2020,$120.71,112559200,$118.72,$121.20,$118.15
AAPL,10/14/2020,$121.19,151062300,$121.00,$123.03,$119.62
AAPL,10/13/2020,$121.10,262330500,$125.27,$125.39,$119.65
AAPL,10/12/2020,$124.40,240226800,$120.06,$125.18,$119.28
MSFT,10/9/2025,$522.40,18343600,$522.34,$524.33,$517.40
MSFT,10/8/2025,$524.85,13363450,$523.28,$526.95,$523.09
MSFT,10/7/2025,$523.98,14615210,$528.29,$529.80,$521.44
MSFT,10/6/2025,$528.57,21388580,$518.61,$531.03,$518.20
MSFT,10/3/2025,$517.35,15112320,$517.10,$520.49,$515.00
MSFT,10/2/2025,$515.74,21222890,$517.64,$521.60,$510.68
MSFT,10/1/2025,$519.71,22632340,$514.80,$520.51,$511.69
MSFT,09/30/2025,$517.95,19728230,$513.24,$518.16,$509.66
MSFT,09/29/2025,$514.60,17617780,$511.50,$516.85,$508.88
MSFT,09/26/2025,$511.46,16213130,$510.06,$513.94,$506.62
MSFT,09/25/2025,$507.03,15786470,$508.30,$510.01,$505.04
MSFT,09/24/2025,$510.15,13533710,$510.38,$512.48,$506.92
MSFT,09/23/2025,$509.23,19799580,$513.80,$514.59,$507.31
MSFT,09/22/2025,$514.45,20009310,$515.59,$517.74,$512.55
MSFT,09/19/2025,$517.93,52474090,$510.56,$519.30,$510.31
MSFT,09/18/2025,$508.45,18913700,$511.49,$513.07,$507.66
MSFT,09/17/2025,$510.02,15816590,$510.62,$511.29,$505.93
MSFT,09/16/2025,$509.04,19711920,$516.88,$517.23,$508.60
MSFT,09/15/2025,$515.36,17143790,$508.79,$515.47,$507.00
MSFT,9/12/2025,$509.90,23624880,$506.65,$512.55,$503.85
MSFT,9/11/2025,$501.01,18881610,$502.25,$503.17,$497.88
MSFT,9/10/2025,$500.37,21611820,$502.98,$503.23,$496.72
MSFT,9/9/2025,$498.41,14410540,$501.43,$502.25,$497.70
MSFT,9/8/2025,$498.20,16771020,$498.11,$501.20,$495.03
MSFT,9/5/2025,$495.00,31994850,$509.07,$511.97,$492.37
MSFT,9/4/2025,$507.97,15509490,$504.30,$508.15,$503.15
MSFT,9/3/2025,$505.35,16345080,$503.79,$507.79,$502.32
MSFT,9/2/2025,$505.12,18128000,$500.47,$506.00,$496.81
MSFT,08/29/2025,$506.69,20961570,$508.66,$509.60,$504.49
MSFT,08/28/2025,$509.64,18015590,$507.09,$511.09,$505.50
MSFT,08/27/2025,$506.74,17277890,$502.00,$507.29,$499.90
MSFT,08/26/2025,$502.04,30835710,$504.36,$504.98,$498.51
MSFT,08/25/2025,$504.26,21638580,$506.63,$508.19,$504.12
MSFT,08/22/2025,$507.23,24324160,$504.25,$510.73,$502.41
MSFT,08/21/2025,$504.24,18443250,$503.69,$507.63,$502.72
MSFT,08/20/2025,$505.72,27723030,$509.87,$511.00,$504.44
MSFT,08/19/2025,$509.77,21481020,$515.00,$515.16,$508.55
MSFT,08/18/2025,$517.10,23760580,$521.59,$522.82,$514.02
MSFT,08/15/2025,$520.17,25213270,$522.77,$526.10,$519.08
MSFT,08/14/2025,$522.48,20269070,$522.56,$525.95,$520.14
MSFT,08/13/2025,$520.58,19619160,$532.11,$532.70,$519.37
MSFT,8/12/2025,$529.24,18688920,$523.75,$530.98,$522.70
MSFT,8/11/2025,$521.77,20194370,$522.30,$527.59,$519.72
MSFT,8/8/2025,$522.04,15531010,$522.60,$524.66,$519.41
MSFT,8/7/2025,$520.84,16079140,$526.80,$528.09,$517.55
MSFT,8/6/2025,$524.94,21355700,$530.90,$531.70,$524.03
MSFT,8/5/2025,$527.75,19171570,$537.18,$537.30,$527.24
MSFT,8/4/2025,$535.64,25349000,$528.27,$538.25,$528.13
MSFT,8/1/2025,$524.11,28977630,$535.00,$535.80,$520.86
MSFT,07/31/2025,$533.50,51617330,$555.23,$555.45,$531.90
MSFT,07/30/2025,$513.24,26380430,$515.17,$515.95,$509.44
MSFT,07/29/2025,$512.57,16469240,$515.53,$517.62,$511.56
MSFT,07/28/2025,$512.50,14308030,$514.08,$515.00,$510.12
MSFT,07/25/2025,$513.71,19125700,$512.47,$518.29,$510.36
MSFT,07/24/2025,$510.88,16107000,$508.77,$513.67,$507.30
MSFT,07/23/2025,$505.87,16396590,$506.75,$506.79,$500.70
MSFT,07/22/2025,$505.27,13868640,$510.97,$511.20,$505.27
MSFT,07/21/2025,$510.06,14066810,$506.71,$512.09,$505.55
MSFT,07/18/2025,$510.05,21209670,$514.48,$514.64,$507.43
MSFT,07/17/2025,$511.70,17503130,$505.68,$513.37,$505.62
MSFT,07/16/2025,$505.62,15154370,$505.18,$506.72,$501.89
MSFT,07/15/2025,$505.82,14927200,$503.02,$508.30,$502.79
MSFT,07/14/2025,$503.02,12058850,$501.52,$503.97,$501.03
MSFT,7/11/2025,$503.32,16459510,$498.47,$505.03,$497.80
MSFT,7/10/2025,$501.48,16498740,$503.05,$504.44,$497.75
MSFT,7/9/2025,$503.51,18659540,$500.30,$506.78,$499.74
MSFT,7/8/2025,$496.62,11846590,$497.24,$498.20,$494.11
MSFT,7/7/2025,$497.72,13981610,$497.38,$498.75,$495.23
MSFT,7/3/2025,$498.84,13984830,$493.81,$500.13,$493.44
MSFT,7/2/2025,$491.09,16319640,$489.99,$493.50,$488.70
MSFT,7/1/2025,$492.05,19945380,$496.47,$498.05,$490.98
MSFT,06/30/2025,$497.41,28368990,$497.04,$500.76,$495.33
MSFT,06/27/2025,$495.94,34539240,$497.55,$499.30,$493.03
MSFT,06/26/2025,$497.45,21578850,$492.98,$498.04,$492.81
MSFT,06/25/2025,$492.27,17495100,$492.04,$494.56,$489.39
MSFT,06/24/2025,$490.11,22305640,$488.95,$491.85,$486.80
MSFT,06/23/2025,$486.00,24863950,$478.21,$487.75,$472.51
MSFT,06/20/2025,$477.40,37576210,$482.23,$483.46,$476.87
MSFT,06/18/2025,$480.24,17526450,$478.00,$481.00,$474.46
MSFT,06/17/2025,$478.04,15414130,$475.40,$478.74,$474.08
MSFT,06/16/2025,$479.14,15626100,$475.21,$480.69,$475.00
MSFT,06/13/2025,$474.96,16814460,$476.41,$479.18,$472.76
MSFT,6/12/2025,$478.87,18950580,$475.02,$480.42,$473.52
MSFT,6/11/2025,$472.62,16399180,$470.02,$475.47,$469.66
MSFT,6/10/2025,$470.92,15375940,$471.19,$472.80,$466.96
MSFT,6/9/2025,$472.75,16469930,$469.70,$473.43,$468.62
MSFT,6/6/2025,$470.38,15285620,$470.09,$473.34,$468.78
MSFT,6/5/2025,$467.68,20154460,$464.96,$469.65,$464.03
MSFT,6/4/2025,$463.87,14162690,$464.00,$465.69,$463.02
MSFT,6/3/2025,$462.97,15743760,$461.47,$464.14,$460.86
MSFT,6/2/2025,$461.97,16626500,$457.14,$462.11,$456.89
MSFT,05/30/2025,$460.36,34770480,$459.72,$461.68,$455.54
MSFT,05/29/2025,$458.68,13982210,$461.55,$461.72,$455.31
MSFT,05/28/2025,$457.36,17086260,$461.22,$462.52,$456.93
MSFT,05/27/2025,$460.69,20974290,$456.48,$460.95,$456.12
MSFT,05/23/2025,$450.18,16883510,$449.98,$453.69,$448.91
MSFT,05/22/2025,$454.86,18025610,$454.95,$460.25,$453.90
MSFT,05/21/2025,$452.57,19216910,$454.57,$457.78,$451.81
MSFT,05/20/2025,$458.17,15441810,$455.59,$458.34,$454.32
MSFT,05/19/2025,$458.87,21336510,$450.88,$459.59,$450.80
MSFT,05/16/2025,$454.27,23849780,$452.05,$454.36,$448.73
MSFT,05/15/2025,$453.13,21992320,$450.77,$456.19,$450.43
MSFT,05/14/2025,$452.94,19902800,$448.14,$453.90,$448.14
MSFT,05/13/2025,$449.14,23618820,$447.78,$450.67,$445.36
MSFT,5/12/2025,$449.26,22821940,$445.94,$449.37,$439.78
MSFT,5/9/2025,$438.73,15324230,$440.00,$440.74,$435.88
MSFT,5/8/2025,$438.17,23491330,$437.93,$443.67,$435.66
MSFT,5/7/2025,$433.35,23307240,$433.84,$438.12,$431.11
MSFT,5/6/2025,$433.31,15104200,$432.20,$437.73,$431.17
MSFT,5/5/2025,$436.17,20136050,$432.87,$439.50,$432.11
MSFT,5/2/2025,$435.28,30757430,$431.74,$439.44,$429.99
MSFT,5/1/2025,$425.40,58938100,$431.11,$436.99,$424.90
MSFT,04/30/2025,$395.26,36461080,$390.30,$396.66,$384.44
MSFT,04/29/2025,$394.04,14973980,$391.30,$395.10,$390.38
MSFT,04/28/2025,$391.16,16579430,$391.96,$392.74,$386.64
MSFT,04/25/2025,$391.85,18973170,$387.00,$392.16,$384.60
MSFT,04/24/2025,$387.30,22232290,$375.70,$388.45,$375.19
MSFT,04/23/2025,$374.39,20545530,$376.06,$380.39,$373.02
MSFT,04/22/2025,$366.82,19484990,$363.38,$367.77,$359.86
MSFT,04/21/2025,$359.12,20807280,$362.82,$364.48,$355.67
MSFT,04/17/2025,$367.78,21120190,$373.75,$374.32,$366.89
MSFT,04/16/2025,$371.61,21967830,$380.67,$381.61,$368.00
MSFT,04/15/2025,$385.73,17199890,$388.51,$391.89,$384.16
MSFT,04/14/2025,$387.81,19251170,$393.22,$394.65,$384.21
MSFT,4/11/2025,$388.45,23839220,$380.64,$390.05,$378.89
MSFT,4/10/2025,$381.35,38024370,$382.06,$383.90,$367.80
MSFT,4/9/2025,$390.49,50199700,$353.54,$393.23,$353.10
MSFT,4/8/2025,$354.56,35868920,$368.26,$373.65,$350.25
MSFT,4/7/2025,$357.86,50425000,$350.88,$371.00,$344.79
MSFT,4/4/2025,$359.84,49209850,$364.13,$374.59,$359.48
MSFT,4/3/2025,$373.11,30198000,$374.79,$377.48,$369.35
MSFT,4/2/2025,$382.14,16092560,$377.97,$385.08,$376.62
MSFT,4/1/2025,$382.19,19689500,$374.65,$382.85,$373.23
MSFT,03/31/2025,$375.39,35184680,$372.54,$377.07,$367.24
MSFT,03/28/2025,$378.80,21632020,$388.08,$389.13,$376.93
MSFT,03/27/2025,$390.58,13766760,$390.13,$392.24,$387.40
MSFT,03/26/2025,$389.97,16132910,$395.00,$395.31,$388.57
MSFT,03/25/2025,$395.16,15774970,$393.92,$396.36,$392.64
MSFT,03/24/2025,$393.08,21004550,$395.40,$395.40,$389.81
MSFT,03/21/2025,$391.26,39675930,$383.22,$391.74,$382.80
MSFT,03/20/2025,$386.84,18470540,$385.74,$391.79,$383.28
MSFT,03/19/2025,$387.82,19185530,$385.53,$389.68,$384.00
MSFT,03/18/2025,$383.52,19486850,$387.07,$387.37,$381.10
MSFT,03/17/2025,$388.70,22474270,$386.70,$392.71,$385.57
MSFT,03/14/2025,$388.56,19952850,$379.78,$390.23,$379.51
MSFT,03/13/2025,$378.77,20473020,$383.16,$385.32,$377.45
MSFT,3/12/2025,$383.27,24253570,$382.95,$385.22,$378.95
MSFT,3/11/2025,$380.45,30380180,$379.00,$386.00,$376.91
MSFT,3/10/2025,$380.16,32840130,$385.84,$386.40,$377.22
MSFT,3/7/2025,$393.31,22034090,$392.32,$394.80,$385.54
MSFT,3/6/2025,$396.89,23304630,$394.28,$402.15,$392.68
MSFT,3/5/2025,$401.02,23433130,$389.34,$401.67,$388.81
MSFT,3/4/2025,$388.61,29342920,$383.40,$392.58,$381.00
MSFT,3/3/2025,$388.49,23007730,$398.82,$398.82,$386.16
MSFT,02/28/2025,$396.99,32845660,$392.66,$397.63,$386.57
MSFT,02/27/2025,$392.53,21127410,$401.27,$405.74,$392.17
MSFT,02/26/2025,$399.73,19618950,$398.01,$403.60,$394.25
MSFT,02/25/2025,$397.90,29387400,$401.10,$401.92,$396.70
MSFT,02/24/2025,$404.00,26443660,$408.51,$409.37,$399.32
MSFT,02/21/2025,$408.21,27524800,$417.34,$418.05,$407.89
MSFT,02/20/2025,$416.13,23508730,$415.29,$419.31,$412.54
MSFT,02/19/2025,$414.77,24114200,$407.88,$415.49,$407.65
MSFT,02/18/2025,$409.64,21423050,$408.00,$410.60,$406.50
MSFT,02/14/2025,$408.43,22758460,$407.79,$408.91,$405.88
MSFT,02/13/2025,$410.54,23891730,$407.00,$411.00,$406.36
MSFT,2/12/2025,$409.04,19121730,$407.21,$410.75,$404.37
MSFT,2/11/2025,$411.44,18140590,$409.64,$412.49,$409.30
MSFT,2/10/2025,$412.22,20817920,$413.71,$415.46,$410.92
MSFT,2/7/2025,$409.75,22886840,$416.48,$418.65,$408.10
MSFT,2/6/2025,$415.82,16309760,$414.00,$418.20,$414.00
MSFT,2/5/2025,$413.29,16336190,$412.35,$413.83,$410.40
MSFT,2/4/2025,$412.37,20532100,$412.69,$413.92,$409.74
MSFT,2/3/2025,$410.92,25679150,$411.60,$415.41,$408.66
MSFT,01/31/2025,$415.06,34223390,$418.98,$420.69,$414.91
MSFT,01/30/2025,$414.99,54586260,$418.77,$422.86,$413.16
MSFT,01/29/2025,$442.33,23581370,$446.69,$446.88,$440.40
MSFT,01/28/2025,$447.20,23491700,$434.60,$448.38,$431.38
MSFT,01/27/2025,$434.56,35647810,$424.01,$435.20,$423.50
MSFT,01/24/2025,$444.06,15549450,$445.16,$446.65,$441.40
MSFT,01/23/2025,$446.71,18389270,$442.00,$446.75,$441.50
MSFT,01/22/2025,$446.20,27803810,$437.56,$447.27,$436.00
MSFT,01/21/2025,$428.50,26085700,$430.20,$430.90,$425.60
MSFT,01/17/2025,$429.03,26197510,$434.09,$434.48,$428.17
MSFT,01/16/2025,$424.58,15300020,$428.70,$429.49,$424.39
MSFT,01/15/2025,$426.31,19637840,$419.13,$428.15,$418.27
MSFT,01/14/2025,$415.67,16935860,$417.81,$419.74,$410.72
MSFT,01/13/2025,$417.19,17604780,$415.24,$418.50,$412.29
MSFT,1/10/2025,$418.95,20201130,$424.63,$424.71,$415.02
MSFT,1/8/2025,$424.56,15054580,$423.46,$426.97,$421.54
MSFT,1/7/2025,$422.37,18139070,$429.00,$430.65,$420.80
MSFT,1/6/2025,$427.85,20573650,$428.00,$434.32,$425.48
MSFT,1/3/2025,$423.35,16662940,$421.08,$424.03,$419.54
MSFT,1/2/2025,$418.58,16896470,$425.53,$426.07,$414.85
MSFT,12/31/2024,$421.50,13246510,$426.10,$426.73,$420.66
MSFT,12/30/2024,$424.83,13158700,$426.06,$427.55,$421.90
MSFT,12/27/2024,$430.53,18117710,$434.60,$435.22,$426.35
MSFT,12/26/2024,$438.11,8199927,$439.08,$440.94,$436.63
MSFT,12/24/2024,$439.33,7164543,$434.65,$439.60,$434.19
MSFT,12/23/2024,$435.25,19152520,$436.74,$437.65,$432.83
MSFT,12/20/2024,$436.60,64263690,$433.11,$443.74,$428.63
MSFT,12/19/2024,$437.03,22963680,$441.62,$443.18,$436.32
MSFT,12/18/2024,$437.39,24444550,$451.32,$452.65,$437.02
MSFT,12/17/2024,$454.46,22733490,$451.01,$455.29,$449.57
MSFT,12/16/2024,$451.59,23598830,$447.27,$452.18,$445.28
MSFT,12/13/2024,$447.27,20177830,$448.44,$451.43,$445.58
MSFT,12/12/2024,$449.56,20834780,$449.11,$456.16,$449.11
MSFT,12/11/2024,$448.99,19200210,$444.05,$450.35,$444.05
MSFT,12/10/2024,$443.33,18469460,$444.39,$449.62,$441.60
MSFT,12/9/2024,$446.02,19144390,$442.60,$448.33,$440.50
MSFT,12/6/2024,$443.57,18821000,$442.30,$446.10,$441.77
MSFT,12/5/2024,$442.62,21697780,$437.92,$444.66,$436.17
MSFT,12/4/2024,$437.42,26009430,$433.03,$439.67,$432.63
MSFT,12/3/2024,$431.20,18301990,$429.84,$432.47,$427.74
MSFT,12/2/2024,$430.98,20207220,$421.57,$433.00,$421.31
MSFT,11/29/2024,$423.46,16271920,$420.09,$424.88,$417.80
MSFT,11/27/2024,$422.99,18332440,$425.11,$427.23,$422.02
MSFT,11/26/2024,$427.99,23458890,$419.59,$429.04,$418.85
MSFT,11/25/2024,$418.79,27691090,$418.38,$421.08,$414.85
MSFT,11/22/2024,$417.00,24814630,$411.37,$417.40,$411.06
MSFT,11/21/2024,$412.87,20780160,$419.50,$419.78,$410.29
MSFT,11/20/2024,$415.49,19191660,$416.87,$417.29,$410.58
MSFT,11/19/2024,$417.79,18133530,$413.11,$417.94,$411.55
MSFT,11/18/2024,$415.76,24742010,$414.87,$418.40,$412.10
MSFT,11/15/2024,$415.00,28247640,$419.82,$422.80,$413.64
MSFT,11/14/2024,$426.89,30246880,$425.00,$428.17,$420.00
MSFT,11/13/2024,$425.20,21502190,$421.64,$429.33,$418.21
MSFT,11/12/2024,$423.03,19401200,$418.25,$424.44,$417.20
MSFT,11/11/2024,$418.01,24503320,$422.52,$424.81,$416.00
MSFT,11/8/2024,$422.54,16891410,$425.32,$426.50,$421.78
MSFT,11/7/2024,$425.43,19901780,$421.28,$426.85,$419.88
MSFT,11/6/2024,$420.18,26681840,$412.42,$420.45,$410.52
MSFT,11/5/2024,$411.46,17626010,$408.37,$414.90,$408.08
MSFT,11/4/2024,$408.46,19672290,$409.80,$410.42,$405.57
MSFT,11/1/2024,$410.37,24230440,$409.01,$415.50,$407.50
MSFT,10/31/2024,$406.35,53970980,$415.36,$416.16,$406.30
MSFT,10/30/2024,$432.53,29749150,$437.44,$438.50,$432.10
MSFT,10/29/2024,$431.95,17644080,$428.00,$433.17,$425.80
MSFT,10/28/2024,$426.59,14882440,$431.66,$431.94,$426.30
MSFT,10/25/2024,$428.15,16899060,$426.76,$432.52,$426.57
MSFT,10/24/2024,$424.73,13581630,$425.33,$425.98,$422.40
MSFT,10/23/2024,$424.60,19654380,$430.86,$431.08,$422.53
MSFT,10/22/2024,$427.51,25482200,$418.49,$430.58,$418.04
MSFT,10/21/2024,$418.78,14206120,$416.12,$418.96,$413.75
MSFT,10/18/2024,$418.16,17145320,$417.14,$419.65,$416.26
MSFT,10/17/2024,$416.72,14820000,$422.36,$422.50,$415.59
MSFT,10/16/2024,$416.12,15508930,$415.17,$416.36,$410.48
MSFT,10/15/2024,$418.74,18900200,$422.18,$422.48,$415.26
MSFT,10/14/2024,$419.14,16653090,$417.77,$424.04,$417.52
MSFT,10/11/2024,$416.32,14144940,$416.14,$417.13,$413.25
MSFT,10/10/2024,$415.84,13848380,$415.23,$417.35,$413.15
MSFT,10/9/2024,$417.46,14974260,$415.86,$420.38,$414.30
MSFT,10/8/2024,$414.71,19229260,$410.90,$415.66,$408.17
MSFT,10/7/2024,$409.54,20919760,$416.00,$417.11,$409.00
MSFT,10/4/2024,$416.06,19190910,$418.24,$419.75,$414.97
MSFT,10/3/2024,$416.54,13686420,$417.63,$419.55,$414.29
MSFT,10/2/2024,$417.13,16582260,$422.58,$422.82,$416.71
MSFT,10/1/2024,$420.69,19092950,$428.45,$428.48,$418.81
MSFT,09/30/2024,$430.30,16854610,$428.21,$430.42,$425.37
MSFT,09/27/2024,$428.02,14896130,$431.52,$431.85,$427.47
MSFT,09/26/2024,$431.31,14492040,$435.09,$435.30,$429.13
MSFT,09/25/2024,$432.11,13396360,$429.83,$433.12,$428.57
MSFT,09/24/2024,$429.17,17015750,$433.00,$433.35,$426.10
MSFT,09/23/2024,$433.51,15128890,$434.28,$436.46,$430.39
MSFT,09/20/2024,$435.27,55167110,$437.22,$439.24,$434.22
MSFT,09/19/2024,$438.69,21706560,$441.23,$441.50,$436.90
MSFT,09/18/2024,$430.81,18898040,$435.00,$436.03,$430.41
MSFT,09/17/2024,$435.15,18874230,$440.23,$441.85,$432.27
MSFT,09/16/2024,$431.34,13834700,$430.60,$433.53,$428.22
MSFT,09/13/2024,$430.59,15874560,$425.83,$431.83,$425.46
MSFT,9/12/2024,$427.00,17418760,$423.31,$427.37,$419.75
MSFT,9/11/2024,$423.04,19266920,$415.50,$423.99,$409.58
MSFT,9/10/2024,$414.20,19594290,$408.20,$416.33,$407.70
MSFT,9/9/2024,$405.72,15295130,$407.24,$408.65,$402.15
MSFT,9/6/2024,$401.70,19609530,$409.06,$410.65,$400.80
MSFT,9/5/2024,$408.39,14195520,$407.62,$413.10,$406.13
MSFT,9/4/2024,$408.90,15135810,$405.91,$411.24,$404.37
MSFT,9/3/2024,$409.44,20313600,$417.91,$419.88,$407.03
MSFT,08/30/2024,$417.14,24308320,$415.60,$417.49,$412.13
MSFT,08/29/2024,$413.12,17045240,$414.94,$422.05,$410.60
MSFT,08/28/2024,$410.60,14882660,$414.88,$415.00,$407.31
MSFT,08/27/2024,$413.84,13492910,$412.86,$414.36,$410.25
MSFT,08/26/2024,$413.49,13152830,$416.37,$417.28,$411.34
MSFT,08/23/2024,$416.79,18493780,$416.98,$419.26,$412.09
MSFT,08/22/2024,$415.55,19361900,$424.36,$426.79,$414.61
MSFT,08/21/2024,$424.14,16067300,$424.08,$426.40,$421.72
MSFT,08/20/2024,$424.80,16387580,$421.70,$425.86,$421.64
MSFT,08/19/2024,$421.53,15233960,$418.96,$421.75,$416.46
MSFT,08/16/2024,$418.47,22775590,$420.60,$421.34,$417.30
MSFT,08/15/2024,$421.03,20752140,$419.80,$421.11,$417.66
MSFT,08/14/2024,$416.86,18266980,$414.80,$417.72,$412.45
MSFT,08/13/2024,$414.01,19414270,$409.59,$414.95,$409.57
MSFT,8/12/2024,$406.81,16762880,$407.06,$408.76,$404.24
MSFT,8/9/2024,$406.02,19276670,$404.03,$408.05,$402.26
MSFT,8/8/2024,$402.69,20203030,$402.44,$405.86,$399.94
MSFT,8/7/2024,$398.43,20650910,$408.64,$410.08,$397.47
MSFT,8/6/2024,$399.61,24946530,$400.00,$405.67,$398.50
MSFT,8/5/2024,$395.15,40709240,$389.17,$401.04,$385.58
MSFT,8/2/2024,$408.49,29437900,$412.49,$415.00,$404.34
MSFT,8/1/2024,$417.11,30296400,$420.79,$427.46,$413.09
MSFT,07/31/2024,$418.35,42891370,$420.50,$421.78,$412.21
MSFT,07/30/2024,$422.92,32687580,$427.72,$429.05,$417.36
MSFT,07/29/2024,$426.73,15125840,$431.58,$432.15,$424.70
MSFT,07/26/2024,$425.27,23583840,$418.20,$428.92,$417.27
MSFT,07/25/2024,$418.40,29943800,$428.80,$429.80,$417.51
MSFT,07/24/2024,$428.90,26805800,$440.45,$441.48,$427.59
MSFT,07/23/2024,$444.85,13107050,$443.90,$448.39,$443.10
MSFT,07/22/2024,$442.94,15808760,$441.79,$444.60,$438.91
MSFT,07/19/2024,$437.11,20940420,$433.10,$441.14,$432.00
MSFT,07/18/2024,$440.37,20794820,$444.34,$444.65,$434.40
MSFT,07/17/2024,$443.52,21754020,$442.59,$444.85,$439.18
MSFT,07/16/2024,$449.52,17175680,$454.22,$454.30,$446.66
MSFT,07/15/2024,$453.96,14429450,$453.30,$457.26,$451.43
MSFT,7/12/2024,$453.55,16324270,$454.33,$456.36,$450.65
MSFT,7/11/2024,$454.70,23111180,$462.98,$464.78,$451.55
MSFT,7/10/2024,$466.25,18196100,$461.22,$466.46,$458.86
MSFT,7/9/2024,$459.54,17228510,$467.00,$467.33,$458.00
MSFT,7/8/2024,$466.24,12962320,$466.55,$467.70,$464.46
MSFT,7/5/2024,$467.56,16000290,$459.61,$468.35,$458.97
MSFT,7/3/2024,$460.77,9932830,$458.19,$461.02,$457.88
MSFT,7/2/2024,$459.28,13979780,$453.20,$459.59,$453.11
MSFT,7/1/2024,$456.73,17662820,$448.66,$457.37,$445.66
MSFT,06/28/2024,$446.95,28362270,$453.07,$455.38,$446.41
MSFT,06/27/2024,$452.85,14806320,$452.18,$456.17,$451.77
MSFT,06/26/2024,$452.16,16507030,$449.00,$453.60,$448.19
MSFT,06/25/2024,$450.95,16747530,$448.25,$451.42,$446.75
MSFT,06/24/2024,$447.67,15913720,$449.80,$452.75,$446.41
MSFT,06/21/2024,$449.78,34486170,$447.38,$450.58,$446.51
MSFT,06/20/2024,$445.70,19877380,$446.30,$446.53,$441.27
MSFT,06/18/2024,$446.34,17112500,$449.71,$450.14,$444.89
MSFT,06/17/2024,$448.37,20790030,$442.59,$450.94,$440.72
MSFT,06/14/2024,$442.57,13581990,$438.28,$443.14,$436.72
MSFT,06/13/2024,$441.58,15960570,$440.85,$443.39,$439.37
MSFT,6/12/2024,$441.06,22366230,$435.32,$443.40,$433.25
MSFT,6/11/2024,$432.68,14551100,$425.48,$432.82,$425.25
MSFT,6/10/2024,$427.87,14003030,$424.70,$428.08,$423.89
MSFT,6/7/2024,$423.85,13621650,$426.20,$426.28,$423.00
MSFT,6/6/2024,$424.52,14861250,$424.01,$425.31,$420.58
MSFT,6/5/2024,$424.01,16988040,$417.81,$424.08,$416.30
MSFT,6/4/2024,$416.07,14348920,$412.43,$416.44,$409.68
MSFT,6/3/2024,$413.52,17484680,$415.53,$416.43,$408.92
MSFT,05/31/2024,$415.13,47995250,$416.75,$416.75,$404.51
